date,team,place,points,game_type
18.01.23,"2, 3, 4, 5, 6, 7, 9, 10",3,43,classic
24.01.23,"11, 7, 8, 3, 2, 5, 6, 1, 12",1,48,classic
01.02.23,"1, 13, 5, 11, 9, 4, 6, 2, 14",1,51,classic
08.02.23,"1, 7, 9, 2, 5, 6, 11, 3, 4",2,50,classic
15.02.23,"6, 3, 4, 2, 1, 13, 7, 11, 8",2,50,classic
22.02.23,"1, 13, 6, 7, 11, 2, 5, 14",1,49,classic
01.03.23,"1, 3, 4, 2, 7, 5, 8, 14, 6",1,49,classic
09.03.23,"1, 3, 4, 2, 7, 5, 8, 14, 6",4,42,classic
15.03.23,"1, 7, 5, 8, 3, 9, 6, 4, 11",2,46,classic
23.03.23,"11, 9, 7, 8, 6, 2, 5, 4, 3",4,51,classic
29.03.23,"1, 3, 4, 5, 6, 7, 8, 2, 11",1,42,classic
05.04.23,"1, 5, 6, 7, 8, 11, 3, 4, 2",3,47,classic
12.03.23,"5, 2, 6, 3, 4, 1, 9, 8,13",5,49,classic
19.04.23,"1, 5, 11, 2, 3, 4, 6, 8, 7",1,42,classic
26.04.23,"1, 3, 4, 11, 5, 7, 8, 6, 2",3,47,classic
03.05.23,"6, 8, 7, 4, 9, 11, 3, 2",5,48,classic
10.05.23,"1, 13, 8, 7, 6, 15, 16, 5, 17",1,52,classic
17.05.23,"6, 1, 13, 3, 4, 2, 11, 7, 18",1,51,classic
24.05.23,"1, 13, 15, 8, 7, 5, 3, 2, 6",2,45,classic
31.05.23,"2, 8, 14, 4, 6, 7, 5, 3, 1",4,37.5,final
07.06.23,"1, 13, 11, 10, 3, 4, 6, 5, 14",2,44,classic
14.06.23,"17, 5, 11, 14, 7, 3, 4, 6",13,33,classic
21.06.23,"1, 5,3,7,11,8,6,4",5,44,classic
28.06.23,"1, 17, 3, 7, 6, 2, 4, 5, 8",1,45,classic
05.07.23,"1, 13, 6, 3, 7, 5, 11, 8, 4",1,53,classic
12.07.23,"1,13,6,3,11,7,5,2,4",1,52,classic
19.07.23,"1,3,19,6,11,5,7,17, 20",6,38,classic
26.07.23,"1,6,17,11,5,2,20,21,18",1,49,classic
02.08.23,"1,6,5,3,4,7,2,11,18",5,44,classic
09.08.23,"1,6,3,5,7,17,11,8,22",3,43,classic
16.08.23,"1,6,3,17,7,8,2,4",3,47,classic
23.08.23,"1,3,17,11,6,8,7,5",2,50,classic
30.08.23,"1,8,6,4,7,3,2,5,11",1,53,classic
03.09.23,"1,13,11,5,7,6,23,17,2",1,50,final
06.09.23,"1,3,6,23,5,4,7,11,17",2,50,classic
13.09.23,"1,6,5,7,11,8,3,4,2",6,45,classic
20.09.23,"1,6,2,7,3,5,8",1,51,classic
27.09.23,"1,17,5,6,23,7,8,2",1,47,classic
04.10.23,"1,6,23,11,5,7,2,3, 24",6,45,classic
11.10.23,"1,6,23,5,8,3,4,25",2,43,classic
18.10.23,"6,5,17,11,7,8,2,4",3,45,classic
25.10.23,"7,2,11,1,5,6,8,4,3",5,49,classic
01.11.23,"1,17,4,2,5,3,6,26, 21",2,45,classic
08.11.23,"2,17,7,5,4,3,6",6,49,classic
15.11.23,"1,6,23,7,11,17,18",3,49,classic
22.11.23,"1,5,6,23,17,8,11,7,2",1,55,classic
29.11.23,"1,13,6,23,4,11,7,8",6,38,classic
03.12.23,"1,17,11,7,2,8,6,3,10",5,39.5,final
06.12.23,"1,6,26,27,5,8,7,3,4",2,53,classic
13.12.23,"1,5,3,6,7,11,8,4,17",11,42,classic
20.12.23,"6,1,11,3,4,26,17",2,49,classic
24.12.23,"1, 28,6,4,11,18",1,53,classic
27.12.23,"2,1,6,23,3,4,5,7,26",2,55,classic
